@relation dataset_ecoswap

@attribute product_id numeric
@attribute days_published numeric
@attribute interactions numeric
@attribute user_success_history numeric
@attribute user_rating {regular,malo,bueno}
@attribute location {barranquilla,medellin,bogota,cartagena,cali,'santa marta',riohacha}
@attribute exchange_successful {False,True}

@data
1509,73,76,151,regular,barranquilla,False
1123,26,236,145,malo,medellin,True
35,80,41,373,malo,barranquilla,False
402,17,428,306,malo,bogota,True
1286,33,356,268,regular,cartagena,False
1706,3,150,478,malo,cali,False
1911,35,28,307,bueno,cali,False
1909,34,455,279,malo,'santa marta',True
114,63,442,413,malo,'santa marta',True
1167,57,128,127,regular,cartagena,False
1418,24,363,118,regular,bogota,True
1851,29,16,111,malo,bogota,False
1933,3,401,302,malo,cali,True
1845,90,86,328,malo,barranquilla,False
225,54,284,414,bueno,cali,True
1856,76,158,271,regular,barranquilla,False
746,28,49,380,regular,cartagena,False
834,34,5,404,regular,bogota,False
794,49,483,460,regular,'santa marta',True
1035,79,337,367,malo,cartagena,True
875,5,124,476,malo,cartagena,False
305,24,157,119,malo,barranquilla,False
1874,81,445,424,regular,medellin,True
1423,87,417,252,regular,riohacha,True
467,13,496,102,malo,barranquilla,True
1732,59,456,362,regular,'santa marta',True
1728,40,201,341,malo,cartagena,True
233,44,305,403,regular,cartagena,False
1540,88,92,286,regular,cali,True
947,8,422,306,regular,cali,True
518,39,141,263,malo,barranquilla,False
1654,15,154,177,regular,bogota,False
1993,33,41,437,bueno,cali,True
1221,60,312,175,bueno,bogota,True
244,24,445,408,malo,'santa marta',True
1220,97,70,61,regular,medellin,False
925,12,497,372,bueno,'santa marta',True
1727,79,454,409,malo,cali,True
1995,40,397,162,malo,medellin,True
445,49,21,464,malo,bogota,False
136,44,66,489,malo,medellin,False
1688,3,248,169,regular,riohacha,True
869,97,359,190,bueno,riohacha,True
1801,77,468,439,malo,medellin,False
181,28,84,309,malo,cartagena,False
1526,12,20,189,regular,medellin,False
408,93,110,72,malo,medellin,False
1348,55,410,428,bueno,'santa marta',True
1799,2,201,432,regular,'santa marta',True
1046,51,49,440,regular,cartagena,False
1003,59,152,152,malo,'santa marta',True
1541,83,270,360,bueno,cali,True
37,62,204,176,malo,bogota,True
1923,89,439,494,malo,'santa marta',True
576,68,11,480,regular,cartagena,False
1142,25,50,357,regular,'santa marta',True
87,48,82,370,bueno,bogota,False
96,82,59,458,bueno,riohacha,False
695,92,321,470,regular,cartagena,True
871,79,308,57,regular,riohacha,False
1062,64,140,446,regular,cartagena,True
1824,63,161,108,regular,barranquilla,False
486,96,90,227,regular,barranquilla,False
1356,57,405,498,bueno,riohacha,True
706,56,161,175,malo,bogota,False
1040,57,409,103,malo,barranquilla,True
833,26,499,117,regular,bogota,True
289,1,340,54,regular,cartagena,True
1206,74,54,362,malo,riohacha,False
624,52,196,323,bueno,medellin,True
1264,63,24,329,malo,bogota,False
1005,59,133,461,malo,cartagena,False
1090,35,114,475,malo,cali,False
1228,92,132,439,malo,'santa marta',False
1427,14,127,363,bueno,bogota,True
1764,33,134,463,malo,'santa marta',False
1467,45,117,236,regular,bogota,False
1704,17,176,499,regular,'santa marta',True
1595,43,268,295,regular,medellin,True
1531,61,372,72,malo,cali,False
1358,88,192,350,malo,barranquilla,False
301,20,498,157,malo,bogota,True
1095,62,172,304,malo,bogota,False
626,16,49,77,malo,cartagena,False
1890,67,76,145,regular,cali,True
1838,17,68,130,regular,riohacha,False
1598,55,336,258,regular,barranquilla,True
784,96,95,419,bueno,barranquilla,True
1270,7,188,441,malo,cali,False
1672,98,431,220,malo,barranquilla,True
1056,20,190,352,bueno,medellin,False
191,1,229,364,bueno,cartagena,True
1248,63,20,216,malo,riohacha,False
1226,37,111,189,malo,cartagena,False
434,63,271,211,malo,medellin,False
822,45,447,258,malo,cartagena,True
614,49,353,158,regular,riohacha,True
1208,6,209,56,regular,barranquilla,False
1084,17,153,359,malo,bogota,False
623,95,487,341,bueno,barranquilla,True
285,16,178,295,malo,'santa marta',True
889,66,470,85,regular,cali,True
721,36,475,94,malo,riohacha,True
1664,39,434,363,malo,barranquilla,True
680,19,468,168,malo,medellin,True
1684,98,474,74,bueno,barranquilla,True
1209,72,462,255,regular,'santa marta',True
1878,15,465,389,regular,medellin,True
901,4,230,481,regular,cali,False
982,25,444,248,regular,barranquilla,True
1524,94,391,178,regular,medellin,True
295,9,336,119,regular,bogota,False
1736,38,191,371,regular,bogota,True
1492,98,65,309,regular,'santa marta',False
718,80,361,313,malo,bogota,True
973,89,247,484,bueno,cali,True
643,95,259,103,malo,riohacha,False
840,54,382,139,malo,medellin,False
824,4,160,380,malo,bogota,False
18,30,482,139,regular,bogota,True
1759,40,333,380,regular,'santa marta',False
523,69,214,355,malo,bogota,True
1596,40,386,338,malo,riohacha,False
816,17,31,142,regular,barranquilla,False
1730,5,124,269,regular,medellin,True
808,3,173,127,malo,medellin,True
1502,99,98,178,regular,'santa marta',False
1833,20,443,187,malo,cali,True
1271,82,60,267,malo,bogota,False
715,61,114,356,regular,bogota,False
1811,95,275,341,bueno,barranquilla,True
504,29,440,297,malo,medellin,True
1685,57,496,359,regular,barranquilla,True
1544,21,489,104,bueno,barranquilla,True
1043,75,463,362,regular,barranquilla,True
1234,40,293,118,bueno,riohacha,True
1821,74,286,65,regular,riohacha,True
750,90,429,327,regular,cali,False
1591,45,42,157,malo,cali,False
1961,77,302,174,malo,medellin,False
414,24,3,463,bueno,bogota,False
1329,66,138,97,bueno,medellin,True
827,32,254,60,malo,riohacha,False
1636,5,269,462,malo,cali,True
69,36,397,77,regular,medellin,True
1776,13,328,97,bueno,cartagena,True
1538,62,214,393,bueno,cartagena,True
1177,74,261,462,malo,bogota,False
1401,20,336,92,regular,cali,True
1144,97,463,52,malo,'santa marta',True
938,56,112,222,malo,'santa marta',False
359,4,245,220,malo,'santa marta',False
615,12,164,392,regular,medellin,False
1698,20,431,282,malo,cartagena,False
1610,42,8,77,malo,riohacha,False
264,19,179,299,malo,medellin,False
948,99,42,107,regular,cartagena,False
1385,7,36,390,malo,barranquilla,True
1947,71,241,163,malo,cartagena,True
8,87,406,68,malo,cartagena,True
354,97,169,257,regular,cartagena,True
696,72,121,183,regular,medellin,False
1042,79,450,406,malo,medellin,True
21,64,428,57,malo,medellin,True
1734,88,343,222,bueno,bogota,True
291,12,384,69,malo,bogota,True
1975,33,318,202,regular,medellin,False
735,16,419,477,regular,cali,True
892,75,229,475,bueno,bogota,True
907,27,376,398,regular,riohacha,True
